week_year,district,week,year,avg_temp,rainfall,humidity,disease_raw,cases
01_2009,Dibrugarh,1,2009,17.19,2.1,74.43,CHOLERA,23.0
01_2009,Kamrup,1,2009,17.59,0.0,74.86,CHICKENPOX,17.0
01_2009,Nawada,1,2009,16.9,0.0,68.14,MEASLES,1.0
01_2009,Godda,1,2009,17.54,0.0,65.71,MEASLES,1.0
01_2009,Tumakur,1,2009,23.48,0.0,49.86,CHICKENPOX,17.0
01_2009,Kalaburagi,1,2009,22.71,0.0,49.29,CHIKUNGUNYA,17.0
01_2009,Gadchiroli,1,2009,22.49,0.0,47.71,MALARIA,19.0
01_2009,Nagpur,1,2009,20.9,0.0,50.71,MEASLES,1.0
01_2009,Ratnagiri,1,2009,23.61,0.0,59.71,HEPATITIS_A,148.0
02_2009,Nawada,2,2009,18.66,5.2,79.0,MEASLES,1.0
02_2009,Shekhpura,2,2009,18.36,0.0,75.57,CHICKENPOX,17.0
02_2009,Bijapur,2,2009,22.47,0.0,66.0,MEASLES,1.0
02_2009,Aizawl,2,2009,12.96,0.0,74.71,SCRUB_TYPHUS,17.0
02_2009,Supaul,2,2009,18.46,0.0,70.71,MEASLES,1.0
03_2009,Godda,3,2009,18.48,0.0,70.71,CHICKENPOX,17.0
03_2009,Davanagere,3,2009,22.91,0.0,46.14,CHICKENPOX,17.0
03_2009,Rayagada,3,2009,21.23,0.0,63.57,FOOD_POISONING,2.0
03_2009,Chevella,3,2009,21.55,0.0,57.86,FOOD_POISONING,2.0
04_2009,Dibrugarh,4,2009,20.04,1.0,76.14,FOOD_POISONING,2.0
04_2009,Madhubani,4,2009,19.27,0.0,72.86,MEASLES,1.0
04_2009,Nawada,4,2009,19.43,0.0,64.86,MEASLES,1.0
04_2009,Nawada,4,2009,19.43,0.0,64.86,CHICKENPOX,17.0
04_2009,Siwan,4,2009,18.79,0.0,72.0,DENGUE,17.0
04_2009,Baster,4,2009,22.54,0.0,42.0,DENGUE,17.0
05_2009,Raipur,5,2009,24.6,0.0,47.57,HEPATITIS_A,148.0
05_2009,Sabarkantha,5,2009,20.3,0.0,42.57,HEPATITIS_A,148.0
05_2009,Jamtara,5,2009,19.94,0.0,60.43,CHICKENPOX,17.0
05_2009,Davangere,5,2009,25.95,0.0,35.43,CHIKUNGUNYA,17.0
05_2009,Shivamogga,5,2009,25.74,0.0,45.86,RABIES,17.0
05_2009,Kannur,5,2009,26.63,0.0,74.43,FOOD_POISONING,2.0
05_2009,Ganjam,5,2009,25.34,0.0,75.43,MEASLES,1.0
05_2009,Chandigarh,5,2009,15.47,0.7,73.29,HEPATITIS_A,148.0
05_2009,Simdega,5,2009,23.29,0.0,42.0,CHICKENPOX,17.0
06_2009,Tumkur,6,2009,24.3,0.0,45.43,INFLUENZA,17.0
06_2009,Tumkur,6,2009,24.3,0.0,45.43,CHICKENPOX,17.0
06_2009,Kalaburgi,6,2009,27.85,0.0,38.57,CHIKUNGUNYA,17.0
06_2009,Udaipur,6,2009,19.83,0.0,41.29,FOOD_POISONING,2.0
06_2009,Krishnagiri,6,2009,24.09,0.0,50.86,CHICKENPOX,17.0
06_2009,Sangareddy,6,2009,26.48,0.0,46.29,FOOD_POISONING,2.0
06_2009,Simdega,6,2009,22.87,0.0,39.14,DIPHTHERIA,17.0
06_2009,Malappuram,6,2009,27.29,0.0,67.29,MEASLES,1.0
07_2009,Osmanabad,7,2009,24.86,0.0,37.14,CHIKUNGUNYA,17.0
07_2009,Jajpur,7,2009,25.96,0.0,62.29,CHICKENPOX,17.0
07_2009,Chittorgarh,7,2009,20.52,0.0,41.14,FOOD_POISONING,2.0
07_2009,Jorhat,7,2009,20.89,0.0,69.43,DENGUE,17.0
07_2009,Bhojpur,7,2009,20.41,1.8,59.86,CHICKENPOX,17.0
07_2009,Samastipur,7,2009,20.27,3.0,63.29,MEASLES,1.0
07_2009,Saharsa,7,2009,20.56,0.5,63.29,MEASLES,1.0
08_2009,Anand,8,2009,25.53,0.0,39.29,CHOLERA,23.0
08_2009,Dumka,8,2009,22.43,0.0,42.86,CHICKENPOX,17.0
08_2009,East,8,2009,22.52,0.0,49.43,CHICKENPOX,17.0
08_2009,Trivandrum,8,2009,26.48,0.0,70.57,FOOD_POISONING,2.0
08_2009,Trivandrum,8,2009,26.48,0.0,70.57,CHICKENPOX,17.0
08_2009,Gadchiroli,8,2009,27.85,0.0,36.14,MALARIA,19.0
08_2009,Bishnupur,8,2009,22.61,0.0,46.0,FOOD_POISONING,2.0
08_2009,Kalahandi,8,2009,25.96,0.0,39.86,MALARIA,19.0
08_2009,Hyderabad,8,2009,25.83,0.0,42.29,FOOD_POISONING,2.0
09_2009,Bhojpur,9,2009,25.0,0.0,36.86,MEASLES,1.0
09_2009,Buxar,9,2009,24.78,0.0,37.86,MEASLES,1.0
09_2009,Purnia,9,2009,24.01,0.0,40.43,MEASLES,1.0
